RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
2115,2016,56,0,2200,270,2000,0,0,
2115,2017,56,0,2200,270,2000,0,0,
2117,2015,56,0,2200,270,2000,0,0,
2118,2014,56,0,2200,270,2000,0,0,
2119,2013,56,0,2200,270,2000,0,0,
2119,2013,56,0,2200,270,2000,0,0,
2121,2012,56,0,2200,270,2000,0,0,
2122,2012,56,0,2200,270,2000,0,0,
2122,2011,56,0,2200,270,2000,0,0,
2122,2009,56,0,2200,270,2000,0,0,
2123,2011,56,0,2200,270,2000,0,0,
2125,2010,56,0,2200,270,2000,0,0,
2127,2009,56,0,2200,270,2000,0,0,
2128,1940,56,0,2200,270,2000,0,0,
2130,1941,56,0,2200,270,2000,0,0,
2129,1941,56,0,2200,270,2000,0,0,
2130,2010,56,0,2200,270,2000,0,0,
2130,2009,56,0,2200,270,2000,0,0,
2131,2008,56,0,2200,270,2000,0,0,
2132,2005,56,0,2200,270,2000,0,0,
2134,2005,56,0,2200,270,2000,0,0,
2134,2005,56,0,2200,270,2000,0,0,
2137,2004,56,0,2200,270,2000,0,0,
2139,2002,56,0,2200,270,2000,0,0,
2139,2003,56,0,2200,270,2000,0,0,
2138,2003,56,0,2200,270,2000,0,0,
2138,2004,56,0,2200,270,2000,0,0,
2140,2002,56,0,2200,270,2000,0,0,
2141,2003,56,0,2200,270,2000,0,0,
2140,2002,56,0,2200,270,2000,0,0,
2141,2002,56,0,2200,270,2000,0,0,
2142,2002,56,0,2200,270,2000,0,0,
2144,2001,56,0,2200,270,2000,0,0,
2145,2001,56,0,2200,270,2000,0,0,
2147,2002,56,0,2200,270,2000,0,0,
2147,2001,56,0,2200,270,2000,0,0,
2147,1998,56,0,2200,270,2000,0,0,
2147,1996,56,0,2200,270,2000,0,0,
2148,1997,56,0,2200,270,2000,0,0,
2149,1998,56,0,2200,270,2000,0,0,
2150,1998,56,0,2200,270,2000,0,0,
2150,1997,56,0,2200,270,2000,0,0,
2152,1996,56,0,2200,270,2000,0,0,
2153,1994,56,0,2200,270,2000,0,0,
